iter	Passed	Remaining
0	136	136301
1	138	69283
2	140	46714
3	142	35511
4	144	28734
5	146	24206
6	149	21262
7	151	18767
8	152	16811
9	154	15253
10	155	13977
11	156	12896
12	157	11979
13	159	11213
14	160	10523
15	161	9942
16	162	9416
17	163	8929
18	164	8514
19	165	8119
20	166	7769
21	167	7441
22	168	7140
23	168	6864
24	169	6610
25	170	6375
26	171	6171
27	171	5965
28	172	5776
29	173	5598
30	173	5434
31	174	5278
32	175	5131
33	175	4993
34	176	4870
35	177	4750
36	177	4631
37	178	4519
38	179	4416
39	179	4315
40	180	4218
41	180	4126
42	181	4038
43	181	3952
44	182	3871
45	182	3792
46	183	3726
47	184	3655
48	184	3588
49	185	3522
50	185	3460
51	186	3398
52	186	3340
53	187	3283
54	187	3228
55	188	3175
56	188	3124
57	189	3076
58	190	3034
59	191	3002
60	192	2958
61	192	2917
62	193	2877
63	194	2837
64	194	2800
65	195	2762
66	195	2726
67	196	2690
68	196	2656
69	197	2622
70	197	2589
71	198	2558
72	199	2527
73	199	2497
74	200	2468
75	200	2439
76	201	2410
77	201	2383
78	202	2358
79	202	2331
80	203	2306
81	204	2284
82	204	2258
83	205	2240
84	206	2220
85	206	2198
86	207	2176
87	207	2154
88	208	2133
89	208	2112
90	209	2091
91	209	2071
92	210	2051
93	210	2032
94	211	2015
95	212	1999
96	212	1981
97	213	1963
98	213	1946
99	214	1929
100	214	1911
101	215	1895
102	215	1880
103	216	1864
104	217	1850
105	217	1835
106	218	1821
107	218	1807
108	219	1794
109	220	1783
110	220	1769
111	221	1756
112	222	1742
113	222	1729
114	223	1716
115	223	1703
116	223	1690
117	224	1678
118	225	1667
119	225	1655
120	226	1644
121	227	1634
122	227	1623
123	228	1611
124	228	1601
125	229	1590
126	229	1579
127	230	1568
128	230	1558
129	231	1548
130	231	1538
131	232	1528
132	233	1520
133	234	1514
134	235	1507
135	235	1498
136	236	1491
137	237	1483
138	238	1475
139	238	1466
140	239	1458
141	239	1448
142	240	1440
143	240	1431
144	241	1424
145	242	1417
146	242	1409
147	243	1401
148	244	1393
149	244	1386
150	245	1378
151	245	1371
152	246	1363
153	246	1356
154	247	1348
155	248	1342
156	248	1336
157	249	1330
158	250	1323
159	250	1316
160	251	1308
161	251	1301
162	252	1294
163	252	1288
164	253	1281
165	253	1275
166	254	1268
167	254	1262
168	255	1256
169	256	1250
170	256	1244
171	257	1238
172	257	1232
173	258	1226
174	258	1220
175	259	1214
176	259	1208
177	260	1203
178	261	1197
179	261	1192
180	262	1188
181	263	1184
182	264	1178
183	264	1174
184	265	1168
185	265	1162
186	266	1157
187	266	1152
188	267	1147
189	267	1142
190	268	1137
191	269	1132
192	269	1127
193	270	1122
194	270	1118
195	271	1113
196	272	1108
197	272	1103
198	273	1099
199	273	1094
200	274	1090
201	274	1085
202	275	1080
203	275	1076
204	276	1071
205	276	1067
206	277	1064
207	278	1059
208	278	1055
209	279	1051
210	280	1047
211	280	1044
212	281	1039
213	281	1035
214	282	1031
215	283	1028
216	284	1024
217	284	1020
218	285	1016
219	285	1013
220	286	1009
221	286	1005
222	287	1001
223	287	997
224	288	993
225	289	990
226	289	986
227	290	982
228	290	978
229	291	976
230	292	974
231	293	971
232	293	967
233	294	964
234	295	960
235	295	958
236	296	954
237	296	950
238	297	947
239	298	944
240	298	940
241	299	937
242	299	934
243	300	930
244	301	927
245	301	924
246	302	921
247	302	918
248	303	915
249	304	912
250	304	909
251	305	906
252	306	903
253	307	901
254	307	898
255	308	895
256	308	892
257	309	889
258	309	886
259	310	883
260	311	880
261	311	877
262	312	876
263	313	873
264	314	872
265	315	869
266	316	867
267	316	864
268	317	862
269	318	860
270	318	857
271	319	854
272	319	851
273	320	849
274	321	847
275	321	844
276	322	841
277	323	839
278	323	836
279	324	833
280	324	830
281	325	828
282	325	825
283	326	823
284	327	821
285	328	819
286	328	816
287	329	814
288	330	812
289	330	810
290	331	807
291	331	804
292	332	802
293	333	800
294	333	797
295	334	795
296	335	794
297	336	792
298	337	790
299	337	787
300	338	785
301	338	783
302	339	781
303	340	778
304	340	776
305	341	774
306	342	772
307	342	769
308	343	767
309	343	765
310	344	762
311	344	760
312	345	758
313	346	755
314	346	753
315	347	751
316	347	749
317	348	747
318	349	745
319	350	744
320	350	742
321	351	740
322	352	738
323	352	735
324	353	733
325	353	731
326	354	729
327	354	727
328	355	725
329	356	723
330	356	720
331	357	718
332	358	717
333	358	714
334	359	712
335	359	710
336	360	708
337	360	706
338	361	705
339	362	702
340	362	700
341	363	699
342	364	697
343	364	695
344	365	694
345	366	692
346	366	689
347	367	687
348	367	685
349	368	684
350	368	682
351	369	680
352	370	678
353	370	676
354	371	674
355	371	672
356	372	670
357	372	668
358	373	666
359	373	664
360	374	662
361	374	660
362	375	658
363	376	657
364	376	655
365	377	653
366	377	651
367	378	649
368	379	648
369	379	646
370	380	645
371	380	643
372	381	641
373	382	639
374	382	638
375	383	636
376	384	634
377	384	632
378	385	631
379	385	629
380	386	627
381	386	626
382	387	624
383	387	622
384	388	620
385	389	619
386	390	617
387	390	616
388	391	614
389	391	612
390	392	611
391	393	610
392	393	608
393	394	606
394	395	605
395	396	604
396	396	602
397	397	600
398	397	599
399	398	597
400	399	596
401	399	594
402	400	592
403	400	591
404	401	589
405	401	588
406	402	586
407	402	584
408	403	583
409	404	581
410	404	579
411	405	578
412	405	576
413	406	575
414	407	574
415	408	573
416	409	571
417	409	570
418	410	568
419	410	567
420	411	565
421	412	564
422	412	562
423	413	561
424	413	559
425	414	558
426	414	556
427	415	555
428	415	553
429	416	552
430	417	550
431	417	549
432	418	547
433	418	546
434	419	544
435	419	542
436	420	541
437	421	540
438	422	539
439	422	538
440	423	537
441	424	535
442	424	534
443	425	532
444	426	531
445	426	530
446	427	528
447	427	527
448	428	525
449	429	524
450	429	523
451	430	521
452	430	520
453	431	518
454	431	517
455	432	515
456	433	514
457	433	513
458	434	511
459	434	510
460	436	509
461	436	508
462	437	507
463	438	506
464	438	504
465	439	503
466	439	502
467	440	500
468	441	499
469	441	498
470	442	496
471	443	495
472	443	494
473	444	492
474	444	491
475	445	490
476	446	489
477	446	487
478	447	486
479	447	485
480	448	483
481	449	482
482	449	481
483	450	479
484	451	479
485	451	477
486	452	476
487	453	475
488	453	474
489	454	472
490	454	471
491	455	470
492	455	468
493	456	467
494	457	466
495	457	465
496	458	463
497	458	462
498	459	461
499	460	460
500	460	458
501	461	457
502	461	456
503	462	455
504	463	453
505	463	452
506	464	451
507	465	450
508	466	449
509	466	448
510	467	447
511	467	446
512	468	444
513	469	443
514	469	442
515	470	441
516	470	439
517	471	438
518	472	437
519	472	436
520	473	434
521	473	433
522	474	432
523	474	431
524	475	429
525	475	428
526	477	428
527	477	427
528	478	426
